numPNsPerKC,numPNKCsynapsesPerKC,meanWPerKC,PNDistToPedPerKC,numAPLKCsynapsesPerKC,KCindex,bodyId,subtype
4,65,16.25,50.74779296875,4,710,815930761,KCab-s_R
4,82,20.5,55.6326904296875,16,714,816254592,KCab-c_R
3,22,7.33333333333333,57.7338619791667,12,715,816263443,KCab-c_R
8,138,17.25,64.728185546875,30,716,816276055,KCg-m_R
9,132,14.6666666666667,54.4184171006944,24,717,816276925,KCg-m_R
4,59,14.75,55.4231796875,12,719,816962833,KCa'b'-ap2_R
1,3,3,96.1208359375,9,720,817294806,KCa'b'-ap2_R
4,32,8,63.4852046875,6,721,817299301,KCa'b'-m_R
4,48,12,72.2976901041667,10,722,817985849,KCab-s_R
4,81,20.25,71.4919111328125,8,723,817993932,KCab-s_R
6,41,6.83333333333333,67.6219459635417,10,724,818637585,KCab-c_R
4,87,21.75,54.535478515625,7,725,829015629,KCab-m_R
5,60,12,72.57433125,4,726,829231385,KCab-m_R
4,67,16.75,58.9777265625,4,727,829231457,KCab-m_R
7,35,5,74.2264287109375,16,730,829572252,KCab-c_R
